,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,奖池奖金(元),一等奖_注数,一等奖_奖金(元),二等奖_注数,二等奖_奖金(元),总投注额(元),开奖日期
80,2021123,06,14,15,19,29,31,05,0元,6,"8,473,913",207,"125,866","366,471,258",2021-10-28
81,2021122,04,05,12,15,18,28,07,- -,- -,- -,- -,- -,- -,2021-10-26
82,2021121,04,05,12,16,22,30,15,7亿5181万5051元,7,"7,721,874",205,"116,177","390,361,524",2021-10-24
83,2021120,01,07,08,12,13,18,05,7亿3441万8962元,40,"5,268,563",496,"27,072","355,518,696",2021-10-21
84,2021119,03,09,10,11,28,29,13,9亿0487万6996元,15,"6,354,639",356,"71,346","356,935,346",2021-10-19
85,2021118,02,06,14,18,20,31,13,9亿2399万8119元,6,"8,460,209",126,"205,964","386,079,710",2021-10-17
86,2021117,03,05,17,21,27,33,04,8亿9690万4658元,10,"6,782,803",101,"220,644","358,589,610",2021-10-14
87,2021116,06,14,17,18,31,33,06,8亿9787万7549元,3,"10,000,000",46,"552,161","355,338,790",2021-10-12
88,2021115,02,10,12,15,24,27,08,8亿5167万9247元,5,"7,857,682",100,"178,605","380,172,848",2021-10-10
89,2021114,04,06,08,14,24,27,02,8亿3738万6111元,3,"10,000,000",177,"158,159","337,378,334",2021-10-07
90,2021113,04,07,10,22,27,30,02,7亿8340万3562元,12,"6,380,290",231,"89,629","293,434,838",2021-10-05
91,2021112,05,06,21,25,28,33,07,7亿9785万3981元,22,"5,394,421",229,"47,364","370,338,224",2021-09-30
92,2021111,17,20,22,23,26,28,06,8亿8399万1506元,3,"10,000,000",96,"219,919","358,360,092",2021-09-28
93,2021110,10,13,15,24,31,32,02,8亿5065万4756元,5,"9,736,534",246,"120,338","394,569,218",2021-09-26
94,2021109,02,03,10,17,20,26,16,8亿1052万7410元,4,"9,492,827",132,"170,182","366,715,360",2021-09-23
95,2021108,11,15,18,24,26,32,09,7亿8110万6313元,5,"8,478,207",118,"184,227","339,998,838",2021-09-21
96,2021107,02,03,17,19,25,30,01,7亿5828万0964元,7,"7,867,703",151,"166,174","367,139,964",2021-09-19
97,2021106,01,04,07,14,30,31,03,7亿3807万7667元,7,"8,130,452",150,"182,609","364,122,996",2021-09-16
98,2021105,10,14,15,22,27,32,09,7亿1281万6451元,9,"6,993,977",174,"128,920","357,292,170",2021-09-14
99,2021104,01,07,17,20,22,28,15,7亿0846万5505元,6,"9,475,659",101,"332,350","397,369,092",2021-09-12
100,2021103,10,13,15,25,29,30,15,6亿6461万7126元,2,"10,000,000",122,"233,872","369,736,978",2021-09-09
101,2021102,05,09,15,24,27,30,09,5亿9901万9763元,34,"5,285,653",236,"51,441","357,853,464",2021-09-07
102,2021101,02,04,12,22,29,31,01,7亿4231万1198元,6,"8,682,830",107,"258,142","393,612,094",2021-09-05
103,2021100,07,09,12,13,14,29,16,7亿1154万4497元,8,"7,583,366",170,"151,962","364,068,238",2021-09-02
104,2021099,09,11,17,18,20,27,15,6亿9471万0436元,7,"7,942,916",278,"92,627","353,159,630",2021-08-31
105,2021098,01,10,13,18,26,32,05,6亿7305万9288元,4,"10,000,000",141,"178,834","390,403,928",2021-08-29
