,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,奖池奖金(元),一等奖_注数,一等奖_奖金(元),二等奖_注数,二等奖_奖金(元),总投注额(元),开奖日期
472,2019016,05,07,09,11,19,25,05,13亿3459万8348元,11,"6,236,511",157,"108,293","314,659,700",2019-02-12
473,2019015,11,15,16,20,24,31,04,13亿5219万3873元,13,"6,477,986",181,"132,692","386,508,326",2019-02-03
474,2019014,01,02,03,14,19,33,03,13亿6435万5844元,7,"7,683,510",168,"139,766","327,526,362",2019-01-31
475,2019013,05,07,14,16,18,21,01,13亿4769万8265元,4,"10,000,000",77,"363,158","332,648,408",2019-01-29
476,2019012,07,10,21,23,31,33,14,13亿0380万8580元,2,"10,000,000",55,"472,600","370,443,836",2019-01-27
477,2019011,10,13,19,21,24,30,07,12亿4582万9570元,4,"8,829,188",72,"265,915","340,431,350",2019-01-24
478,2019010,02,04,05,08,11,30,02,12亿2370万8496元,15,"5,753,329",178,"79,353","336,769,874",2019-01-22
479,2019009,01,07,10,22,31,32,15,12亿6763万3646元,12,"7,191,309",122,"269,423","376,873,348",2019-01-20
480,2019008,02,06,09,13,28,32,12,12亿5532万0435元,4,"9,716,477",86,"274,213","342,498,692",2019-01-17
481,2019007,06,10,14,15,19,23,15,12亿2343万9184元,9,"7,306,482",198,"131,050","340,543,166",2019-01-15
482,2019006,01,05,10,19,26,28,12,12亿1135万3738元,32,"5,514,887",96,"214,536","375,825,296",2019-01-13
483,2019005,21,22,26,28,31,32,07,13亿2604万3660元,11,"6,133,650",68,"229,230","343,365,078",2019-01-10
484,2019004,08,12,16,19,26,32,03,13亿4675万0738元,8,"7,428,584",222,"109,395","338,080,388",2019-01-08
485,2019003,13,17,20,21,22,27,01,13亿3332万1882元,5,"9,635,283",129,"224,577","373,728,002",2019-01-06
486,2019002,04,05,06,08,09,18,11,12亿9458万6730元,9,"7,273,230",129,"198,246","345,144,344",2019-01-03
487,2019001,06,10,13,15,32,33,15,12亿8332万4272元,14,"6,657,038",147,"197,266","341,453,440",2019-01-01
488,2018153,01,07,17,23,25,31,11,12亿8952万8301元,4,"10,000,000",133,"205,313","363,663,410",2018-12-30
489,2018152,04,14,16,23,28,29,03,12亿4760万8325元,20,"5,479,653",168,"71,376","342,935,808",2018-12-27
490,2018151,05,15,19,25,26,29,15,13亿2122万7399元,4,"9,708,849",203,"115,981","345,353,380",2018-12-25
491,2018150,06,08,15,19,20,31,05,12亿8943万0060元,15,"6,255,214",270,"87,167","377,320,206",2018-12-23
492,2018149,01,07,08,10,12,24,01,13亿1265万2452元,12,"6,743,951",212,"123,392","353,364,860",2018-12-20
493,2018148,03,06,18,19,21,31,01,13亿1510万2044元,11,"6,665,301",210,"109,037","346,743,178",2018-12-18
494,2018147,03,15,17,23,27,30,11,13亿1972万6677元,11,"6,875,712",102,"252,853","378,419,434",2018-12-16
495,2018146,02,10,11,17,18,29,16,13亿1798万6374元,13,"6,395,974",157,"144,487","345,409,226",2018-12-13
496,2018145,03,09,13,22,23,25,06,13亿3308万0271元,21,"5,598,712",172,"91,373","349,376,292",2018-12-11
497,2018144,08,13,17,18,20,27,13,14亿0350万4611元,1,"10,000,000",117,"241,814","387,956,028",2018-12-09
498,2018143,04,06,15,28,32,33,14,13亿2862万7871元,16,"6,480,336",117,"253,048","373,157,016",2018-12-06
499,2018142,05,08,10,11,27,28,11,13亿4349万3083元,16,"5,856,527",242,"70,787","390,581,690",2018-12-04
500,2018141,11,14,16,18,24,33,04,13亿8580万5866元,2,"10,000,000",115,"248,604","416,166,816",2018-12-02
501,2018140,01,15,20,22,25,28,14,13亿2003万7180元,0,0,103,"318,026","386,006,162",2018-11-29
502,2018139,11,18,20,23,31,32,15,12亿2176万6906元,10,"7,121,941",82,"323,466","380,559,364",2018-11-27
503,2018138,01,10,25,27,30,32,09,12亿1341万3511元,3,"10,000,000",67,"453,502","412,013,682",2018-11-25
504,2018137,03,05,11,15,20,23,09,11亿5225万9559元,10,"6,284,256",141,"113,852","379,485,292",2018-11-22
505,2018136,10,12,15,25,26,27,14,11亿6694万2493元,6,"8,548,933",149,"178,637","377,111,910",2018-11-20
506,2018135,01,03,06,10,11,29,16,11亿3838万5085元,4,"10,000,000",133,"234,150","406,719,454",2018-11-18
507,2018134,03,16,18,31,32,33,12,10亿8495万9009元,11,"6,833,164",297,"84,868","377,767,366",2018-11-15
508,2018133,02,04,11,12,18,32,13,10亿8450万5788元,3,"10,000,000",65,"361,738","374,106,026",2018-11-13
509,2018132,01,02,09,10,15,22,06,10亿4396万6776元,12,"6,627,168",104,"234,687","408,709,916",2018-11-11
510,2018131,21,22,24,31,32,33,01,10亿5027万0214元,2,"10,000,000",125,"244,689","383,809,176",2018-11-08
511,2018130,05,12,17,18,24,28,12,9亿7851万1798元,17,"6,072,806",841,"27,107","374,274,632",2018-11-06
512,2018129,02,04,06,16,18,19,16,10亿1335万8099元,7,"8,728,266",117,"278,823","418,290,398",2018-11-04
513,2018128,06,07,08,19,22,23,02,9亿7658万8973元,11,"7,226,364",300,"102,041","388,471,822",2018-11-01
514,2018127,02,05,06,07,11,15,12,9亿6424万1444元,13,"6,414,968",202,"113,827","383,266,268",2018-10-30
515,2018126,01,06,08,09,14,22,05,9亿7865万6335元,8,"7,588,766",138,"187,591","415,778,246",2018-10-28
516,2018125,03,10,11,14,15,32,02,9亿6170万3467元,3,"10,000,000",54,"598,926","391,293,382",2018-10-25
517,2018124,09,13,14,19,22,25,02,8亿9467万7451元,4,"9,291,791",127,"168,968","378,069,006",2018-10-23
518,2018123,13,21,24,27,31,32,01,8亿6746万7741元,6,"9,217,817",115,"275,075","410,429,482",2018-10-21
519,2018122,05,07,20,22,30,32,10,8亿2787万3755元,31,"5,238,879",230,"40,245","327,644,802",2018-10-18
520,2018121,06,08,14,19,23,25,11,9亿6250万9317元,11,"6,468,429",142,"142,189","321,305,376",2018-10-16
521,2018120,03,04,18,26,27,33,01,9亿7308万9335元,5,"9,561,820",185,"154,115","357,215,818",2018-10-14
522,2018119,03,13,14,16,25,27,12,9亿3536万4310元,10,"6,043,410",117,"111,475","328,321,394",2018-10-11
523,2018118,08,12,21,22,27,31,09,9亿5667万0540元,7,"6,907,203",140,"119,200","322,015,414",2018-10-09
524,2018117,08,11,15,17,23,25,05,9亿5495万6874元,6,"7,824,932",189,"112,100","340,052,040",2018-10-07
525,2018116,05,14,17,22,23,28,15,9亿3834万5496元,44,"5,308,473",320,"53,018","281,786,404",2018-10-04
526,2018115,01,13,19,24,26,29,11,11亿2102万0227元,1,"10,000,000",52,"243,906","273,986,534",2018-10-02
527,2018114,01,07,15,16,20,27,14,10亿9297万0758元,6,"7,981,155",203,"110,141","336,072,030",2018-09-30
528,2018113,01,06,09,16,25,26,09,10亿7378万1687元,11,"5,895,165",208,"59,175","314,160,394",2018-09-27
529,2018112,05,08,18,25,26,31,04,11亿0170万2921元,11,"6,090,396",154,"97,356","302,328,982",2018-09-25
530,2018111,01,07,14,24,25,28,08,11亿2371万8442元,11,"5,565,493",143,"54,374","320,180,512",2018-09-23
531,2018110,11,13,16,21,22,23,02,11亿6161万2266元,2,"10,000,000",66,"389,022","307,066,624",2018-09-20
532,2018109,10,11,18,23,31,33,15,11亿0458万5752元,4,"8,282,094",69,"237,832","306,989,720",2018-09-18
533,2018108,05,13,18,21,26,30,02,10亿8848万2714元,22,"5,859,675",179,"132,073","322,147,946",2018-09-16
534,2018107,01,02,05,12,20,22,01,11亿4647万2338元,6,"8,438,555",139,"185,533","317,508,712",2018-09-13
535,2018106,04,18,19,24,25,26,10,11亿1973万6168元,4,"8,430,179",125,"137,207","312,096,980",2018-09-11
536,2018105,04,05,13,18,19,25,01,11亿0200万4192元,17,"6,257,964",150,"178,211","343,324,268",2018-09-09
537,2018104,02,03,06,19,25,29,01,11亿2819万4345元,5,"8,635,318",158,"143,802","312,637,426",2018-09-06
538,2018103,02,09,15,22,23,24,16,11亿0320万8722元,7,"7,746,753",111,"216,523","314,574,584",2018-09-04
539,2018102,02,06,11,19,21,28,05,10亿8533万3716元,4,"8,922,949",163,"120,335","340,812,198",2018-09-02
540,2018101,01,03,14,26,29,33,09,10亿6218万1270元,5,"7,864,370",70,"255,747","308,676,480",2018-08-30
541,2018100,02,11,14,15,29,33,02,10亿4779万6176元,3,"10,000,000",91,"234,630","309,533,260",2018-08-28
542,2018099,03,07,08,14,25,32,06,10亿1374万2168元,12,"6,102,840",242,"68,357","339,383,254",2018-08-26
543,2018098,06,10,11,20,29,32,13,10亿3734万8433元,9,"7,336,982",125,"210,328","314,746,902",2018-08-23
544,2018097,01,02,17,20,25,28,13,10亿2450万8131元,1,"10,000,000",38,"607,210","313,501,772",2018-08-21
545,2018096,01,05,09,20,28,32,12,9亿6528万6126元,23,"5,556,088",150,"106,583","338,691,852",2018-08-19
546,2018095,10,11,12,21,26,33,09,10亿4511万3520元,4,"8,780,501",87,"217,270","320,539,494",2018-08-16
547,2018094,04,07,16,20,24,30,05,10亿2352万8004元,0,0,148,"137,747","314,204,036",2018-08-14
548,2018093,04,18,20,21,29,33,07,9亿6236万8068元,3,"10,000,000",78,"304,804","341,609,166",2018-08-12
549,2018092,06,10,16,19,24,33,16,9亿2104万3817元,1,"10,000,000",95,"269,198","318,819,890",2018-08-09
550,2018091,06,11,13,17,25,32,07,8亿5432万2188元,4,"8,999,907",81,"246,907","315,853,082",2018-08-07
551,2018090,01,02,04,10,14,23,07,8亿3032万3212元,12,"5,776,285",85,"136,991","340,370,390",2018-08-05
552,2018089,06,09,12,14,18,27,14,8亿6470万5795元,5,"9,128,194",172,"150,007","312,432,712",2018-08-02
553,2018088,03,05,12,29,30,32,14,8亿3294万3120元,8,"7,319,478",69,"336,156","315,199,378",2018-07-31
554,2018087,01,05,10,16,18,31,03,8亿2191万4596元,3,"10,000,000",74,"382,259","348,603,358",2018-07-29
555,2018086,02,07,17,21,23,26,16,7亿6705万2918元,18,"5,839,185",109,"173,226","322,631,262",2018-07-26
556,2018085,04,10,25,26,30,33,06,8亿1551万3264元,8,"6,541,028",88,"175,116","322,576,362",2018-07-24
557,2018084,05,06,08,12,22,24,03,8亿2161万0647元,13,"6,216,121",249,"79,365","347,865,554",2018-07-22
558,2018083,04,09,18,21,32,33,03,8亿4313万4325元,11,"6,964,663",126,"214,397","323,565,026",2018-07-19
559,2018082,06,12,14,20,22,24,09,8亿3870万3256元,8,"6,895,145",140,"135,367","319,081,284",2018-07-17
560,2018081,01,02,12,16,20,26,03,8亿3701万0055元,5,"9,113,851",154,"166,958","349,698,540",2018-07-15
561,2018080,04,07,13,20,29,33,03,8亿0544万4602元,6,"8,230,212",128,"189,270","325,310,442",2018-07-12
562,2018079,14,15,17,22,24,29,13,7亿8214万6094元,2,"10,000,000",77,"347,163","327,442,428",2018-07-10
563,2018078,03,10,14,17,18,30,12,7亿2195万1374元,6,"7,550,329",204,"93,762","358,569,878",2018-07-08
564,2018077,02,05,09,15,20,24,10,7亿0987万0938元,7,"7,421,960",109,"194,423","327,832,004",2018-07-05
565,2018076,03,07,08,15,29,30,13,6亿9824万8210元,22,"5,565,528",363,"42,843","327,873,252",2018-07-03
566,2018075,07,09,12,13,22,24,11,7亿7403万3783元,17,"5,972,248",120,"172,168","356,378,720",2018-07-01
567,2018074,09,11,14,20,27,30,09,8亿1358万1190元,9,"6,057,912",120,"99,179","327,800,026",2018-06-28
568,2018073,02,09,14,15,16,23,10,8亿3239万7856元,8,"7,236,302",104,"215,029","329,645,754",2018-06-26
569,2018072,11,16,19,22,25,30,08,8亿2319万9206元,19,"5,128,649",101,"30,251","372,281,494",2018-06-24
570,2018071,02,05,06,13,16,19,03,9亿1147万7268元,9,"6,963,036",110,"200,765","348,880,396",2018-06-21
571,2018070,04,09,15,16,19,27,10,9亿0789万2115元,13,"6,439,454",138,"169,500","339,461,364",2018-06-19
572,2018069,06,13,17,19,23,31,12,9亿2143万1615元,5,"8,350,663",126,"166,203","355,213,336",2018-06-17
573,2018068,08,10,17,20,27,30,01,9亿0036万0000元,3,"10,000,000",225,"106,134","332,649,368",2018-06-14
574,2018067,01,04,09,12,15,18,05,8亿5871万9248元,8,"7,355,099",122,"193,040","324,647,042",2018-06-12
575,2018066,09,16,17,19,22,26,10,8亿4690万7070元,10,"6,805,079",195,"115,710","357,968,382",2018-06-10
576,2018065,01,04,06,14,28,33,01,8亿4726万7386元,6,"8,384,489",123,"206,371","329,937,636",2018-06-07
577,2018064,02,05,10,11,17,21,05,8亿2142万3304元,12,"6,202,837",149,"121,091","329,557,586",2018-06-05
578,2018063,05,06,10,16,20,25,12,8亿4172万9671元,27,"5,291,294",315,"31,210","358,387,608",2018-06-03
579,2018062,02,18,19,24,25,33,11,9亿5510万1072元,6,"8,244,701",109,"223,259","326,938,646",2018-05-31
580,2018061,09,10,11,12,18,23,07,9亿3156万3495元,15,"5,915,270",213,"80,569","332,550,974",2018-05-29
581,2018060,04,08,13,25,30,31,10,9亿6880万8575元,5,"8,071,749",111,"172,958","364,451,892",2018-05-27
582,2018059,04,06,08,13,22,32,11,9亿5157万2015元,5,"7,926,005",69,"265,036","335,528,070",2018-05-24
583,2018058,07,12,13,16,26,31,07,9亿3633万9437元,11,"6,534,486",120,"175,826","328,678,478",2018-05-22
584,2018057,05,15,17,19,20,30,13,9亿4492万1232元,9,"7,219,690",193,"129,386","360,079,018",2018-05-20
585,2018056,01,03,06,20,21,26,01,9亿3498万3896元,7,"7,536,477",187,"118,685","332,042,280",2018-05-17
586,2018055,07,09,10,12,22,26,07,9亿2115万6717元,39,"5,382,270",131,"142,257","328,077,816",2018-05-15
587,2018054,04,06,18,22,25,33,16,10亿7515万8284元,4,"10,000,000",86,"305,357","364,343,470",2018-05-13
588,2018053,01,04,10,11,14,27,06,10亿3637万5992元,8,"7,086,603",104,"200,634","336,743,448",2018-05-10
589,2018052,03,05,06,09,15,32,14,10亿3047万0724元,4,"9,373,437",104,"210,261","335,132,016",2018-05-08
590,2018051,05,07,20,23,27,31,04,10亿0236万2910元,5,"9,213,527",146,"180,373","362,286,900",2018-05-06
591,2018050,01,02,04,10,18,19,07,9亿6942万6906元,7,"7,360,984",146,"141,497","332,612,986",2018-05-03
592,2018049,01,03,04,11,19,23,02,9亿5897万7957元,7,"7,858,532",88,"284,229","308,606,382",2018-05-01
593,2018048,01,12,20,25,30,31,02,9亿3895万1220元,4,"9,801,124",76,"315,863","347,082,070",2018-04-29
594,2018047,06,07,12,16,22,25,07,9亿0613万8855元,9,"6,936,514",102,"213,586","340,211,348",2018-04-26
595,2018046,10,13,14,18,20,31,03,9亿0321万0136元,2,"10,000,000",100,"256,483","341,414,200",2018-04-24
596,2018045,03,04,06,25,26,30,01,8亿4626万5053元,3,"6,904,812",82,"87,110","381,384,846",2018-04-22
597,2018044,05,09,12,17,27,30,06,8亿4555万0354元,22,"5,550,276",643,"23,534","351,490,126",2018-04-19
598,2018043,01,04,06,08,21,24,07,9亿2225万8638元,6,"7,386,066",93,"192,424","350,595,736",2018-04-17
599,2018042,06,10,21,28,29,31,12,9亿1288万8550元,14,"6,113,405",163,"119,537","373,384,922",2018-04-15
600,2018041,07,08,20,23,24,32,13,9亿4002万2436元,4,"9,960,334",64,"387,526","342,614,774",2018-04-12
601,2018040,01,03,08,13,18,23,16,9亿0545万8752元,11,"6,625,737",283,"78,989","341,719,534",2018-04-10
602,2018039,08,12,18,19,23,32,03,9亿1128万0204元,6,"8,202,095",168,"142,950","368,394,896",2018-04-08
603,2018038,15,23,24,25,28,29,09,8亿8844万5635元,5,"7,607,731",75,"217,310","303,245,456",2018-04-05
604,2018037,01,06,07,08,27,30,10,8亿7758万9328元,12,"6,218,823",137,"133,447","336,334,062",2018-04-03
605,2018036,08,17,24,26,28,33,04,8亿9736万8156元,4,"10,000,000",117,"231,790","375,931,002",2018-04-01
606,2018035,07,10,11,17,23,28,15,8亿5600万9608元,6,"8,809,507",289,"98,862","350,309,396",2018-03-29
607,2018034,01,05,11,22,23,26,15,8亿2315万2736元,8,"7,560,160",122,"209,849","348,544,506",2018-03-27
608,2018033,04,19,20,22,28,33,06,8亿0682万9198元,3,"10,000,000",88,"289,516","376,360,408",2018-03-25
609,2018032,21,22,23,24,25,32,06,7亿6039万6749元,3,"10,000,000",127,"179,511","351,194,914",2018-03-22
610,2018031,02,16,18,19,27,30,14,7亿2200万2755元,3,"10,000,000",116,"224,837","345,048,756",2018-03-20
611,2018030,13,14,20,21,25,33,07,6亿7375万9355元,1,"10,000,000",98,"260,810","388,492,136",2018-03-18
612,2018029,01,02,09,14,22,25,05,6亿0708万1200元,5,"8,926,329",85,"288,700","349,939,456",2018-03-15
613,2018028,03,08,11,14,18,23,16,5亿7809万4167元,7,"7,676,997",220,"106,471","352,015,830",2018-03-13
614,2018027,02,07,09,14,18,28,05,5亿6156万1972元,6,"8,250,400",144,"169,291","386,579,026",2018-03-11
615,2018026,04,07,12,14,26,32,04,5亿3793万0372元,6,"8,313,468",75,"331,346","341,958,742",2018-03-08
616,2018025,04,13,16,19,21,25,14,5亿1325万8146元,1,"10,000,000",83,"350,024","341,614,936",2018-03-06
617,2018024,11,19,22,26,31,32,02,4亿3610万2047元,9,"7,481,039",81,"344,588","373,443,496",2018-03-04
618,2018023,12,15,16,21,26,29,16,4亿1969万6331元,3,"10,000,000",159,"164,899","339,395,846",2018-03-01
619,2018022,07,14,19,21,22,23,03,3亿7103万9376元,6,"8,201,615",111,"216,325","333,617,132",2018-02-27
620,2018021,03,04,06,11,23,28,14,3亿4821万2718元,3,"10,000,000",216,"116,432","364,661,036",2018-02-25
621,2018020,06,09,10,14,28,30,05,3亿0276万4704元,33,"5,489,962",212,"95,334","322,991,340",2018-02-22
622,2018019,03,11,12,16,21,23,09,4亿2330万0648元,8,"6,663,708",80,"207,963","353,382,992",2018-02-13
623,2018018,02,12,13,18,25,27,07,4亿2669万9072元,12,"6,383,135",214,"96,948","364,855,490",2018-02-11
624,2018017,03,06,11,26,30,32,12,4亿4105万5600元,5,"8,695,830",68,"339,690","341,808,336",2018-02-08
625,2018016,01,11,12,18,25,27,16,4亿1523万7924元,4,"9,593,701",98,"234,372","338,462,386",2018-02-06
626,2018015,11,15,20,21,26,33,15,3亿8470万7208元,6,"7,652,271",172,"115,651","372,995,620",2018-02-04
627,2018014,09,12,20,24,28,31,07,3亿7094万4726元,17,"5,970,693",103,"200,264","341,965,074",2018-02-01
628,2018013,06,08,13,15,22,33,06,4亿1056万4826元,9,"7,002,470",99,"227,553","338,322,260",2018-01-30
629,2018012,11,12,13,19,26,28,12,4亿0600万3688元,8,"7,195,022",129,"170,156","367,108,128",2018-01-28
630,2018011,03,10,21,23,27,33,11,3亿9771万3208元,8,"7,356,371",138,"170,751","336,871,794",2018-01-25
631,2018010,01,08,17,20,21,22,03,3亿8587万3044元,6,"8,085,375",71,"325,919","351,327,690",2018-01-23
632,2018009,05,10,17,23,26,32,07,3亿6496万4347元,17,"5,477,449",221,"45,908","384,256,808",2018-01-21
633,2018008,05,09,10,12,17,19,13,4亿2764万3568元,11,"6,571,365",144,"150,043","359,785,672",2018-01-18
634,2018007,13,14,20,25,27,31,12,4亿3510万9760元,8,"7,274,011",132,"172,273","354,279,554",2018-01-16
635,2018006,02,07,08,09,17,29,11,4亿2508万1503元,11,"6,856,113",172,"148,381","387,617,618",2018-01-14
636,2018005,02,20,21,28,31,33,06,4亿2393万4061元,1,"10,000,000",68,"371,062","354,961,030",2018-01-11
637,2018004,14,18,19,26,30,31,11,3亿5823万7373元,13,"6,082,556",55,"319,846","349,304,820",2018-01-09
638,2018003,01,14,16,17,20,31,04,3亿8453万6000元,5,"10,000,000",167,"191,008","388,121,442",2018-01-07
639,2018002,07,18,24,29,31,33,16,3亿3884万0952元,3,"10,000,000",94,"319,928","351,610,618",2018-01-04
640,2018001,01,08,11,26,28,31,04,2亿7862万1134元,22,"5,825,255",191,"118,819","367,348,082",2018-01-02
641,2017154,05,09,13,15,18,26,05,3亿3869万3168元,11,"7,280,114",141,"222,351","414,241,024",2017-12-31
642,2017153,07,11,12,13,18,19,16,3亿2471万9716元,4,"10,000,000",165,"190,901","372,349,292",2017-12-28
643,2017152,06,10,23,25,26,29,05,2亿7022万3240元,8,"7,027,612",129,"157,179","367,326,916",2017-12-26
644,2017151,02,05,07,09,11,27,16,2亿6561万5770元,6,"8,891,264",171,"170,669","410,102,286",2017-12-24
645,2017150,06,14,19,20,21,23,08,2亿3140万9917元,9,"6,900,101",82,"260,684","382,821,120",2017-12-21
646,2017149,05,08,15,20,27,30,13,2亿2938万2406元,67,"5,031,231",1126,"6,000","389,703,152",2017-12-19
647,2017148,04,07,11,14,29,32,12,5亿5862万8074元,18,"6,272,562",274,"104,498","419,003,890",2017-12-17
648,2017147,03,07,20,21,25,31,14,5亿8563万6222元,3,"10,000,000",131,"255,096","397,012,632",2017-12-14
649,2017146,01,19,25,26,27,33,10,5亿1538万3281元,21,"5,802,209",252,"83,563","409,358,700",2017-12-12
650,2017145,02,06,12,17,25,28,12,5亿7405万5706元,31,"5,380,151",458,"32,163","434,698,744",2017-12-10
651,2017144,03,14,16,20,31,32,09,6亿9664万7832元,8,"6,316,343",54,"243,767","394,649,686",2017-12-07
652,2017143,04,06,09,14,20,29,14,7亿0768万8280元,13,"6,687,672",164,"167,223","383,967,718",2017-12-05
653,2017142,08,13,14,18,23,33,06,7亿1235万4014元,6,"7,643,652",149,"133,069","417,715,258",2017-12-03
654,2017141,01,06,07,11,13,15,05,6亿9873万3752元,4,"7,854,635",78,"182,989","374,075,240",2017-11-30
655,2017140,21,22,25,28,29,30,08,6亿8733万2768元,16,"6,035,870",83,"249,607","376,479,116",2017-11-28
656,2017139,02,14,20,24,28,32,16,7亿2175万4472元,6,"9,828,398",92,"393,619","409,744,564",2017-11-26
657,2017138,01,17,24,28,32,33,02,6亿7208万5896元,6,"9,039,634",79,"383,509","377,937,674",2017-11-23
658,2017137,05,10,20,23,26,31,03,6亿3543万1923元,7,"7,917,073",146,"174,824","376,184,186",2017-11-21
659,2017136,03,07,10,18,21,24,12,6亿1427万8265元,19,"5,952,821",216,"104,766","401,556,928",2017-11-19
660,2017135,01,06,07,14,18,26,16,6亿5949万3336元,8,"7,923,669",147,"198,889","378,825,098",2017-11-16
661,2017134,04,05,11,14,28,32,04,6亿3517万2616元,13,"6,040,990",99,"170,869","365,781,644",2017-11-14
662,2017133,06,15,17,18,23,30,11,6亿6295万7197元,7,"8,327,342",223,"130,557","400,247,724",2017-11-12
663,2017132,02,03,05,09,13,28,11,6亿3390万5850元,6,"8,820,665",139,"206,151","377,852,842",2017-11-09
664,2017131,01,07,10,11,26,27,11,6亿0086万4875元,25,"5,513,378",131,"122,466","367,788,616",2017-11-07
665,2017130,05,13,14,23,25,31,02,6亿9057万0120元,5,"10,000,000",211,"161,007","401,382,016",2017-11-05
666,2017129,05,06,09,14,21,33,02,6亿3865万2615元,3,"10,000,000",116,"229,558","334,351,058",2017-11-02
667,2017128,02,06,13,22,29,31,08,5亿8876万6113元,13,"5,186,374",111,"27,284","323,872,230",2017-10-31
668,2017127,14,15,21,24,27,32,12,6亿4710万3220元,4,"9,376,343",63,"347,328","351,381,232",2017-10-29
669,2017126,01,16,17,21,27,30,16,6亿1896万3440元,8,"7,757,297",63,"437,666","328,800,104",2017-10-26
670,2017125,01,14,23,25,29,30,03,5亿9830万2894元,6,"7,793,201",133,"157,511","324,821,104",2017-10-24
671,2017124,02,06,11,26,28,29,03,5亿8221万5080元,8,"6,981,077",126,"157,228","352,610,564",2017-10-22
672,2017123,04,05,06,11,21,31,10,5亿7863万1376元,16,"5,768,364",237,"64,840","327,467,830",2017-10-19
673,2017122,11,20,21,22,24,27,15,6亿2482万3324元,4,"9,322,578",52,"415,632","323,216,212",2017-10-17
674,2017121,11,18,19,22,24,32,07,5亿9727万4960元,5,"7,294,152",136,"105,429","344,520,506",2017-10-15
675,2017120,08,10,15,19,23,28,16,5亿9073万0365元,5,"9,211,061",192,"137,078","319,254,526",2017-10-12
676,2017119,09,16,21,25,26,31,14,5亿5782万8271元,11,"6,673,237",127,"181,157","311,293,858",2017-10-10
677,2017118,08,09,15,22,30,33,16,5亿6221万2840元,12,"6,730,422",123,"211,027","339,910,326",2017-10-08
678,2017117,01,02,08,11,14,21,09,5亿6510万8899元,3,"8,633,236",53,"257,068","277,103,412",2017-10-05
679,2017116,02,14,20,22,30,32,02,5亿5013万4702元,9,"6,537,998",85,"203,558","270,066,216",2017-10-03
680,2017115,04,10,11,25,30,31,01,5亿5706万9238元,6,"8,233,631",128,"189,470","322,048,056",2017-10-01
681,2017114,06,12,13,15,18,26,13,5亿3371万4324元,4,"9,187,872",89,"235,273","321,554,260",2017-09-28
682,2017113,04,06,16,27,29,33,05,5亿0764万7724元,4,"8,403,060",75,"226,870","316,223,542",2017-09-26
683,2017112,03,10,14,16,22,23,11,4亿9021万4060元,2,"10,000,000",76,"292,461","346,255,520",2017-09-24
684,2017111,05,10,17,19,29,32,12,4亿4353万2928元,16,"5,921,674",99,"186,196","317,976,914",2017-09-21
685,2017110,01,03,12,15,19,23,14,4亿8297万9264元,3,"10,000,000",68,"377,100","316,936,062",2017-09-19
686,2017109,08,14,16,18,21,23,16,4亿3605万0760元,4,"10,000,000",96,"296,384","349,302,018",2017-09-17
687,2017108,07,12,14,15,17,20,01,3亿9069万2040元,6,"8,141,359",113,"208,497","320,774,192",2017-09-14
688,2017107,08,09,15,17,30,32,06,3亿6885万9616元,19,"5,814,695",202,"95,787","319,335,446",2017-09-12
689,2017106,12,15,20,25,27,31,02,4亿2129万1764元,4,"10,000,000",82,"306,613","346,574,690",2017-09-10
690,2017105,03,06,07,12,25,26,07,3亿8586万4894元,29,"5,091,000",254,"12,987","314,223,620",2017-09-07
691,2017104,01,14,15,20,23,30,14,5亿2360万7612元,2,"10,000,000",93,"265,208","310,263,038",2017-09-05
692,2017103,01,21,23,25,31,33,01,4亿6961万4348元,9,"7,401,779",64,"422,187","347,478,996",2017-09-03
693,2017102,04,08,10,14,18,20,11,4亿5517万0324元,14,"5,682,901",150,"79,671","315,963,272",2017-08-31
694,2017101,01,04,11,28,31,32,16,4亿9887万8630元,2,"10,000,000",51,"548,154","313,219,868",2017-08-29
695,2017100,04,07,08,18,23,24,02,4亿3501万0976元,16,"6,241,187",117,"212,168","343,590,604",2017-08-27
696,2017099,02,05,06,16,28,29,04,4亿6039万8735元,27,"5,455,945",142,"108,367","310,565,530",2017-08-24
697,2017098,04,19,22,27,30,33,01,5亿6154万4774元,14,"5,401,390",93,"75,530","314,009,676",2017-08-22
698,2017097,05,10,18,19,30,31,03,6亿1609万1250元,10,"6,980,859",183,"135,304","348,913,966",2017-08-20
699,2017096,02,06,11,12,19,29,06,6亿1161万7622元,14,"6,270,042",165,"134,701","322,973,284",2017-08-17
700,2017095,09,10,12,19,22,29,16,6亿3272万0984元,14,"6,159,602",332,"61,123","317,203,922",2017-08-15
701,2017094,08,11,13,19,28,31,06,6亿5807万6283元,9,"6,630,843",128,"143,335","341,689,810",2017-08-13
702,2017093,07,08,09,15,22,27,12,6亿6271万2921元,39,"5,290,308",238,"59,464","308,248,758",2017-08-10
703,2017092,10,18,19,29,32,33,09,8亿2657万7324元,4,"9,605,819",131,"175,794","308,876,342",2017-08-08
704,2017091,05,07,10,23,28,29,03,7亿9591万3308元,4,"8,923,729",141,"139,139","337,138,076",2017-08-06
705,2017090,01,07,10,16,22,33,09,7亿7275万2284元,4,"8,842,613",84,"228,726","312,174,318",2017-08-03
706,2017089,11,12,13,16,23,25,12,7亿5048万3542元,2,"10,000,000",69,"328,347","314,842,050",2017-08-01
